frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,lidar_snap_dist_m,gt_dist_m,cam_error_m,lidar_error_m,lidar_snap_error_m,cam_latency_ms,lidar_latency_ms
266,66.2838,19.8967,11.1435,11.1942,16.1969,3.6998,5.0534,5.0027,11.00,1.00
267,66.3454,19.7777,,,16.1969,3.5807,,,10.57,1.15
268,66.4091,19.8546,,,16.1969,3.6576,,,14.19,0.88
269,66.4837,19.8263,11.1350,,16.1969,3.6294,5.0619,,20.08,1.26
270,66.5511,19.8169,,,16.1969,3.6200,,,16.59,1.18
271,66.6197,19.8399,,,16.1969,3.6430,,,16.26,1.09
272,66.6882,19.8635,13.9300,,16.1969,3.6665,2.2669,,13.39,1.36
273,66.7548,19.9240,,,16.1969,3.7270,,,14.29,1.10
274,66.8144,19.9060,,,16.1969,3.7091,,,10.24,0.98
275,66.8759,19.8497,11.1443,,16.1969,3.6528,5.0527,,13.14,0.91
276,66.9475,19.8990,,,16.1969,3.7020,,,13.98,1.09
277,67.0049,19.9814,,,16.1969,3.7844,,,8.76,1.19
278,67.0645,20.0144,,,16.1969,3.8174,,,8.78,0.83
279,67.1290,19.9802,11.1473,,16.1983,3.7818,5.0510,,16.90,1.02
280,67.1844,19.8701,11.1381,11.1835,16.1985,3.6717,5.0603,5.0150,11.36,1.34
281,67.2642,19.8771,,,16.1984,3.6787,,,24.16,1.18
282,67.3256,19.9034,11.1249,11.2175,16.1984,3.7050,5.0735,4.9809,9.89,0.94
283,67.3934,19.9106,,,16.1984,3.7121,,,14.50,1.02
284,67.4661,20.0454,,,16.1984,3.8470,,,20.26,1.12
285,67.5323,19.9643,11.1305,,16.1994,3.7649,5.0689,,11.91,1.08
286,67.5943,19.8505,,,16.1998,3.6507,,,11.46,1.03
287,67.6599,19.9208,,,16.1998,3.7210,,,15.12,1.07
288,67.7192,19.9196,,,16.1998,3.7198,,,11.13,1.20
289,67.7823,19.9619,11.2384,11.1783,16.1998,3.7621,4.9613,5.0215,13.06,0.98
290,67.8430,19.9547,,,16.1998,3.7549,,,9.58,1.12
291,67.9066,19.8592,,,16.1998,3.6594,,,14.47,0.92
292,67.9666,20.0039,,,16.1998,3.8041,,,9.94,1.22
293,68.0305,19.9459,11.1644,,16.1999,3.7461,5.0354,,10.31,1.11
294,68.0941,19.9915,,,16.1996,3.7919,,,18.63,1.12
295,68.1634,19.9682,,,16.1996,3.7685,,,13.16,0.89
296,68.2224,19.8907,,,16.1996,3.6910,,,11.26,1.10
297,68.2892,19.9751,10.0546,,16.1996,3.7755,6.1450,,13.44,1.22
298,68.3532,20.0010,,,16.1996,3.8014,,,14.91,1.08
299,68.4182,20.0148,,,16.1996,3.8152,,,11.34,1.19
300,68.4753,19.9245,,,16.1995,3.7249,,,10.76,0.83
301,68.5416,19.9595,,,16.1990,3.7604,,,13.78,1.17
302,68.6068,19.8751,,,16.1991,3.6760,,,13.16,0.90
303,68.6770,19.9019,,,16.1991,3.7028,,,19.73,1.34
304,68.7465,19.8910,,,16.1991,3.6919,,,16.59,1.18
305,68.8098,19.8865,,,16.1991,3.6875,,,13.23,0.87
306,68.8748,19.9493,,,16.1991,3.7503,,,12.15,0.79
307,68.9342,19.9361,11.0209,,16.1991,3.7370,5.1782,,9.39,1.05
308,68.9921,20.0073,12.6002,,16.1991,3.8082,3.5988,,10.29,1.19
309,69.0586,19.9712,,,16.2008,3.7704,,,19.57,1.87
310,69.1196,19.9502,,,16.2014,3.7488,,,15.28,0.97
311,69.1885,19.9087,12.4858,,16.2014,3.7073,3.7155,,17.06,1.28
312,69.2571,19.8901,,,16.2014,3.6888,,,16.07,1.13
313,69.3355,19.8218,11.1892,,16.2014,3.6204,5.0122,,22.93,2.55
314,69.4173,19.9713,,,16.2014,3.7699,,,19.58,1.25
315,69.4861,19.8671,12.9405,11.2017,16.2014,3.6657,3.2609,4.9997,15.92,1.21
316,69.5471,19.8713,,,16.2014,3.6699,,,13.53,1.06
317,69.6017,20.0455,,,16.2014,3.8441,,,9.56,1.29
318,69.6573,20.0001,,,16.2012,3.7989,,,9.73,0.95
319,69.7261,20.0590,11.1679,,16.2012,3.8578,5.0334,,17.66,0.90
320,69.7858,19.9133,11.1539,11.2160,16.2010,3.7123,5.0471,4.9850,10.94,1.16
321,69.8552,20.1539,,,16.2003,3.9536,,,14.81,1.10
322,69.9301,20.0200,11.1485,11.1727,16.1991,3.8209,5.0506,5.0264,14.43,0.94
323,70.0045,20.0033,,,16.1985,3.8049,,,13.96,1.16
324,70.0623,19.9478,,,16.1979,3.7499,,,9.43,1.02
325,70.1294,19.9203,11.1460,,16.1975,3.7229,5.0515,,15.55,1.00
326,70.1991,19.8446,,,16.1975,3.6472,,,15.96,1.32
327,70.2666,19.9783,,,16.1975,3.7809,,,16.32,1.21
328,70.3350,19.9761,11.1975,11.1877,16.1975,3.7786,5.0000,5.0097,16.91,1.19
329,70.3990,19.9205,,,16.1975,3.7231,,,16.69,1.30
330,70.4611,19.8377,,,16.1975,3.6402,,,11.92,0.89
331,70.5268,19.8784,11.2504,11.1787,16.1975,3.6810,4.9471,5.0188,14.10,0.84
332,70.6093,19.8319,,,16.1975,3.6345,,,24.53,0.92
333,70.6778,19.8390,11.2303,,16.1975,3.6415,4.9672,,12.19,0.78
334,70.7407,19.7842,,,16.1975,3.5868,,,13.31,1.15
335,70.8038,19.9070,,,16.1975,3.7095,,,11.86,0.81
336,70.8695,19.8607,,,16.1975,3.6632,,,16.33,1.12
337,70.9365,19.8404,11.1371,,16.1975,3.6429,5.0604,,15.20,1.30
338,71.0119,19.8134,,,16.1975,3.6159,,,12.51,0.88
339,71.0735,19.8956,,,16.1975,3.6981,,,11.26,0.91
340,71.1348,19.7987,11.1219,11.1622,16.1975,3.6012,5.0755,5.0353,13.55,1.13
341,71.2029,19.9309,,,16.1975,3.7334,,,19.39,1.34
342,71.2662,19.9498,,,16.1975,3.7523,,,10.64,1.18
343,71.3239,19.8153,,,16.1975,3.6179,,,8.77,1.04
344,71.3835,19.8399,11.0802,11.1947,16.1975,3.6424,5.1173,5.0028,9.96,1.13
345,71.4494,19.8220,,,16.1975,3.6245,,,16.04,1.19
346,71.5324,19.7374,11.1328,,16.1975,3.5399,5.0647,,19.49,1.27
347,71.5953,19.9381,,,16.1975,3.7407,,,11.55,1.23
348,71.6599,19.7972,,,16.1975,3.5997,,,19.50,0.94
349,71.7252,19.8504,11.1404,,16.1975,3.6529,5.0571,,16.40,0.84
350,71.7882,19.8615,10.3736,,16.1975,3.6641,5.8239,,15.70,1.26
351,71.8521,19.9465,,,16.1975,3.7490,,,12.39,1.19
352,71.9199,19.9320,,,16.1975,3.7345,,,15.48,0.99
353,71.9809,19.9438,11.1666,11.1666,16.1975,3.7464,5.0309,5.0309,10.13,0.98
354,72.0409,19.9513,,,16.1975,3.7538,,,13.87,1.14
355,72.1023,19.9393,,,16.1975,3.7418,,,10.97,1.33
356,72.1640,19.8531,,,16.1975,3.6556,,,10.37,0.93
357,72.2240,19.9238,11.1369,,16.1975,3.7263,5.0606,,11.07,0.94
358,72.2778,19.8866,11.1217,,16.1975,3.6891,5.0757,,13.09,0.88
359,72.3413,19.9047,,,16.1975,3.7072,,,15.57,1.47
360,72.4005,19.8722,,,16.1975,3.6747,,,13.81,1.17
361,72.4713,19.8797,11.1256,11.1659,16.1975,3.6822,5.0719,5.0315,12.14,0.80
362,72.5453,19.8736,,,16.1975,3.6762,,,24.25,1.91
363,72.5991,19.8922,,,16.1975,3.6947,,,9.71,0.87
364,72.6603,19.8988,,,16.1975,3.7013,,,15.96,1.00
365,72.7262,19.8033,11.1834,,16.1975,3.6058,5.0141,,15.97,0.90
366,72.7916,19.8628,,,16.1975,3.6653,,,14.59,1.03
367,72.8498,19.9063,,,16.1975,3.7088,,,11.14,1.21
368,72.9073,19.8412,,,16.1975,3.6437,,,9.90,1.60
369,72.9701,19.9755,,,16.1975,3.7780,,,18.48,1.14
370,73.0337,19.9676,10.5650,11.2082,16.1975,3.7701,5.6325,4.9893,14.75,1.17
371,73.1014,19.8571,,,16.1975,3.6596,,,18.13,1.61
372,73.1756,19.9322,11.1360,,16.1975,3.7347,5.0615,,14.52,0.88
373,73.2361,19.8575,10.7524,,16.1975,3.6600,5.4450,,16.60,1.25
374,73.2995,19.8626,,,16.1975,3.6651,,,12.23,0.86
