frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_latency_ms,lidar_latency_ms
251,58.4660,,11.9891,42.6959,,30.7068,13.53,1.13
252,58.5156,,11.9945,42.8589,,30.8644,13.28,1.05
253,58.5648,,15.2657,43.0298,,27.7641,12.81,1.13
254,58.6156,,11.7016,43.1913,,31.4897,14.38,1.25
255,58.6755,,,43.4068,,,14.38,1.02
256,58.7377,,,43.6499,,,17.91,1.13
257,58.7896,,,43.8266,,,12.87,1.33
258,58.8402,,,44.0067,,,14.34,1.46
259,58.9082,,,44.2522,,,19.74,1.68
260,58.9647,,,44.4674,,,13.94,1.05
261,59.0188,,,44.6454,,,8.34,1.23
262,59.0812,,,44.9005,,,16.03,1.49
263,59.1357,,,45.0613,,,17.90,2.85
264,59.1898,,,45.2580,,,8.16,1.38
265,59.2489,,,45.4641,,,14.04,1.36
266,59.3129,,,45.7045,,,19.88,1.52
267,59.3668,,12.2733,45.8648,,33.5915,14.66,1.17
268,59.4276,,,46.0779,,,14.06,1.16
269,59.4759,,,46.2479,,,11.05,1.18
270,59.5302,,,46.4133,,,15.13,1.17
271,59.5959,,,46.6239,,,20.25,1.17
272,59.6428,,,46.7955,,,12.49,0.87
273,59.6920,,,46.9482,,,13.07,1.07
274,59.7383,,,47.0895,,,10.33,1.20
275,59.7884,,,47.2337,,,13.85,1.42
276,59.8632,,14.5680,47.4677,,32.8997,13.94,1.21
277,59.9188,,14.0027,47.6214,,33.6187,12.83,1.11
278,59.9703,,13.7645,47.7875,,34.0230,10.30,1.00
279,60.0284,,,47.9733,,,12.01,1.39
280,60.0825,,,48.1375,,,13.02,1.30
281,60.1385,,,48.3175,,,13.84,1.47
282,60.1963,,,48.5078,,,11.21,0.93
283,60.2498,,,48.6859,,,10.54,1.08
284,60.3013,,,48.8386,,,12.67,1.15
285,60.3589,,,49.0133,,,12.26,1.66
286,60.4129,,,49.1898,,,13.87,1.26
287,60.4699,,,49.3445,,,19.37,2.27
288,60.5262,,,49.5461,,,14.86,1.01
289,60.5862,,,49.7316,,,13.37,1.41
290,60.6391,,,49.8699,,,16.77,1.38
291,60.6968,,,50.0483,,,8.78,1.11
292,60.7473,,,50.2159,,,8.54,1.34
293,60.7959,,,50.3538,,,8.92,1.14
294,60.8446,,,50.4858,,,9.43,0.94
295,60.8934,,,50.6165,,,11.29,1.21
296,60.9497,,,50.7732,,,9.68,1.04
297,61.0000,,,50.9197,,,11.62,1.19
298,61.0530,,,51.0387,,,16.09,0.92
299,61.1173,,14.2347,51.2123,,36.9776,15.15,0.99
300,61.1683,,14.2832,51.3194,,37.0362,11.86,2.31
301,61.2370,,,51.4726,,,18.27,1.39
302,61.3014,,,51.6143,,,19.24,2.08
303,61.3602,,,51.7268,,,14.23,1.25
304,61.4083,,,51.8162,,,13.14,1.18
305,61.4581,,,51.9017,,,14.13,1.17
306,61.5271,,,52.0185,,,21.52,2.10
307,61.5999,,,52.1251,,,18.90,3.00
308,61.6559,,,52.1981,,,9.64,1.46
309,61.7189,,,52.2751,,,20.39,2.21
310,61.7726,,,52.3491,,,11.66,0.83
311,61.8288,,,52.4174,,,8.48,1.22
312,61.8839,,,52.4930,,,10.29,1.37
313,61.9384,,,52.5603,,,13.99,1.22
314,61.9957,,,52.6270,,,17.96,2.78
315,62.0536,,,52.7031,,,11.99,1.11
316,62.1094,,,52.7839,,,13.86,1.72
317,62.1783,,,52.8804,,,17.46,1.17
318,62.2367,,,52.9613,,,9.48,1.38
319,62.2849,,,53.0236,,,8.46,1.28
320,62.3361,,,53.1061,,,9.64,1.77
321,62.3861,,,53.1781,,,11.63,1.46
322,62.4412,,,53.2625,,,16.65,2.17
323,62.4949,,,53.3318,,,8.70,1.39
324,62.5471,,,53.4045,,,10.55,1.07
325,62.5943,,,53.4634,,,12.52,1.06
326,62.6411,,,53.5244,,,10.70,1.05
327,62.6922,,,53.5866,,,13.74,1.21
328,62.7483,,,53.6595,,,14.75,1.18
329,62.7982,,,53.7178,,,14.42,0.89
330,62.8571,,,53.8063,,,17.32,2.29
331,62.9120,,10.6252,53.8729,,43.2477,11.91,1.23
332,62.9590,,,53.9349,,,11.07,1.10
333,63.0059,,,53.9976,,,10.04,1.13
334,63.0553,,,54.0607,,,12.50,1.41
335,63.1045,,,54.1269,,,12.43,1.28
336,63.1571,,,54.1907,,,15.25,1.34
337,63.2144,,11.4317,54.2556,,42.8239,15.32,1.10
338,63.2692,,11.9127,54.3165,,42.4038,8.31,0.84
339,63.3147,,,54.3547,,,8.68,1.18
340,63.3670,,12.2368,54.4178,,42.1810,8.64,1.10
341,63.4186,,,54.4820,,,8.47,1.38
342,63.4681,,12.5184,54.5372,,42.0188,8.50,0.92
343,63.5236,,,54.5989,,,18.69,2.20
